zone_id,year,flood_days,avg_degradation,avg_drift_memory,max_load_ratio,avg_rainfall
0,1,109,0.02632164383561644,0.04639534246575343,2.2117,83.51093
0,2,111,0.0677372602739726,0.0716109589041096,2.3242,83.17921
0,3,116,0.11227698630136985,0.09860739726027398,1.4705,83.096794
0,4,110,0.16853068493150686,0.1362758904109589,1.1918,81.208435
0,5,122,0.21070876712328765,0.1659484931506849,1.8885,83.06113
0,6,119,0.2551164383561644,0.1862227397260274,1.5289,82.57485
0,7,121,0.2959142465753425,0.2057564383561644,1.3517,82.85222
0,8,112,0.3,0.2041986301369863,1.2185,81.48529
0,9,129,0.3,0.2079808219178082,1.6277,82.83715
0,10,109,0.3,0.2045578082191781,1.7084,81.52455
1,1,0,0.01846082191780822,0.10919917808219179,0.1904,76.77707
1,2,0,0.03914465753424658,0.0951104109589041,0.3169,78.16652
1,3,0,0.06769561643835617,0.08392027397260274,0.2109,76.91595
1,4,0,0.10388465753424658,0.07632136986301369,0.1862,76.67126
1,5,0,0.12448547945205479,0.077886301369863,0.323,77.7163
1,6,0,0.14981698630136986,0.08751123287671234,0.1878,76.78274
1,7,0,0.18933150684931505,0.10187068493150685,0.239,77.368355
1,8,0,0.21312630136986302,0.10585260273972603,0.251,76.590904
1,9,0,0.2599701369863014,0.11545150684931507,0.2871,76.30096
1,10,0,0.2988895890410959,0.11606876712328766,0.3691,77.30181
2,1,0,0.008418904109589042,0.08062219178082192,0.7006,80.42554
2,2,1,0.03642164383561644,0.04568109589041096,0.9856,81.337036
2,3,0,0.08296438356164383,0.06683287671232876,0.5676,80.56833
2,4,1,0.14043890410958904,0.09860958904109589,0.9623,81.51852
2,5,2,0.15593671232876713,0.10128082191780823,0.9739,81.61584
2,6,0,0.18410191780821916,0.10589068493150686,0.5422,80.78828
2,7,0,0.20219808219178084,0.0981764383561644,0.5613,80.618935
2,8,0,0.22445698630136987,0.09195452054794521,0.6845,81.2231
2,9,0,0.23995616438356165,0.0958613698630137,0.5763,81.212715
2,10,0,0.26121561643835617,0.10306246575342466,0.6744,81.019615
3,1,2,0.013012054794520547,0.06069123287671233,1.1771,84.66863
3,2,2,0.05023945205479452,0.052259178082191785,1.1805,84.50329
3,3,0,0.06143095890410959,0.05079945205479452,0.6972,83.37825
3,4,1,0.09344383561643835,0.07053041095890411,1.2697,83.76562
3,5,0,0.1432101369863014,0.09704,0.7025,83.76438
3,6,0,0.16836438356164385,0.1026413698630137,0.8027,83.78997
3,7,0,0.19578712328767123,0.09956,0.8215,83.25959
3,8,1,0.24241808219178085,0.11167972602739726,1.1244,83.49924
3,9,0,0.27284876712328765,0.12448739726027397,0.7292,83.47652
3,10,1,0.2898087671232877,0.1322290410958904,1.0431,83.9306
4,1,2,0.0217013698630137,0.06397452054794521,1.5473,74.842415
4,2,4,0.08805808219178081,0.07687424657534246,1.3561,74.03463
4,3,1,0.14163835616438356,0.10149260273972603,0.8451,73.206055
4,4,3,0.18800054794520546,0.12364027397260274,1.6117,75.131996
4,5,2,0.23037698630136985,0.12790876712328766,0.9539,74.74036
4,6,0,0.26651424657534245,0.1259145205479452,0.8108,72.99
4,7,1,0.2984742465753425,0.14127890410958904,1.1196,73.79899
4,8,1,0.3,0.1406312328767123,0.8351,73.33987
4,9,0,0.3,0.140733698630137,0.8064,73.23288
4,10,1,0.3,0.14256246575342466,0.8979,74.40995
5,1,0,0.011873424657534246,0.07899780821917808,0.4352,73.21422
5,2,0,0.060721643835616436,0.07317561643835616,0.8425,73.3906
5,3,0,0.09752821917808219,0.06976246575342465,0.4599,73.293915
5,4,0,0.12604794520547946,0.08217205479452054,0.6823,72.01784
5,5,0,0.18287945205479453,0.1064276712328767,0.6804,72.72128
5,6,2,0.270972602739726,0.1347509589041096,0.9659,74.15014
5,7,0,0.2991284931506849,0.11553287671232877,0.418,72.87238
5,8,2,0.3,0.09566356164383562,1.0207,74.10816
5,9,0,0.3,0.09255863013698631,0.423,71.49115
5,10,0,0.3,0.09374767123287671,0.7095,72.5694
6,1,0,0.014623561643835617,0.1681495890410959,0.2649,71.94441
6,2,0,0.04591123287671233,0.09607780821917808,0.2258,73.46715
6,3,0,0.07460246575342466,0.06877178082191782,0.217,73.6363
6,4,0,0.11899945205479452,0.09021835616438355,0.3042,72.55663
6,5,0,0.19075397260273974,0.12249534246575342,0.2228,72.14745
6,6,0,0.25741479452054794,0.14649342465753426,0.3746,72.38929
6,7,0,0.3,0.15269479452054796,0.2003,71.734055
6,8,0,0.3,0.13739123287671232,0.2153,72.91302
6,9,0,0.3,0.11954630136986301,0.2238,72.76945
6,10,0,0.3,0.09986657534246576,0.3801,73.25216
7,1,0,0.004464931506849315,0.14577643835616438,0.2413,85.41178
7,2,0,0.016952054794520548,0.058772054794520544,0.4804,86.961205
7,3,0,0.06176520547945205,0.061795342465753425,0.2689,85.474495
7,4,0,0.10286246575342467,0.08284410958904109,0.3461,86.43439
7,5,0,0.17831643835616437,0.11845315068493151,0.4335,86.72148
7,6,0,0.2243545205479452,0.13348438356164383,0.2774,85.557365
7,7,0,0.25198027397260275,0.1346158904109589,0.2459,85.05373
7,8,0,0.2641906849315068,0.12497287671232876,0.3482,86.13222
7,9,0,0.28757095890410955,0.1131413698630137,0.2572,85.68731
7,10,0,0.3,0.09226575342465754,0.3903,85.44562
8,1,2,0.004724657534246575,0.036866575342465756,1.1651,74.73762
8,2,1,0.0407331506849315,0.05110739726027397,0.9259,73.86868
8,3,0,0.0870917808219178,0.06983671232876712,0.6391,74.525665
8,4,2,0.12715616438356164,0.08408684931506849,1.2539,75.18973
8,5,1,0.16243972602739726,0.09575780821917808,1.0324,74.45852
8,6,2,0.18146575342465754,0.09492438356164383,1.2398,74.26312
8,7,0,0.19928630136986303,0.08553780821917809,0.6967,73.653534
8,8,0,0.21989260273972602,0.0849172602739726,0.6146,74.066025
8,9,0,0.2497016438356164,0.09598712328767123,0.6724,74.43751
8,10,1,0.2925819178082192,0.11212931506849315,0.9188,74.21611
9,1,3,0.021688767123287673,0.08105753424657534,1.3241,77.81301
9,2,1,0.07944602739726028,0.07019479452054794,0.8797,75.64337
9,3,0,0.12646712328767123,0.0922972602739726,0.6306,76.340355
9,4,2,0.16004493150684931,0.10679561643835617,1.0656,76.971375
9,5,1,0.18989972602739727,0.11250712328767123,1.3227,77.28239
9,6,0,0.22457835616438354,0.10863342465753426,0.6892,76.398766
9,7,0,0.25097205479452056,0.10639780821917809,0.6587,75.996605
9,8,2,0.27951452054794523,0.11800438356164385,1.0455,77.05929
9,9,0,0.3,0.12519835616438357,0.6206,76.33469
9,10,2,0.3,0.1263158904109589,1.116,76.97405
10,1,5,0.007283013698630137,0.017935068493150685,1.4748,81.45712
10,2,12,0.02799041095890411,0.027525205479452055,1.766,83.28737
10,3,7,0.055380821917808215,0.04220821917808219,0.9274,81.47545
10,4,6,0.08016904109589042,0.05588383561643836,0.9127,81.72348
10,5,17,0.12017753424657535,0.07719835616438356,1.6235,84.08543
10,6,8,0.18358657534246575,0.10695150684931508,1.303,81.934715
10,7,10,0.2238654794520548,0.12085917808219178,0.9705,81.42047
10,8,12,0.28129424657534247,0.15267917808219178,1.736,83.42153
10,9,11,0.3,0.1599041095890411,0.9484,82.087036
10,10,13,0.3,0.1598076712328767,1.5253,82.99849
11,1,14,0.019576712328767124,0.05825506849315069,1.932,83.57378
11,2,11,0.0697641095890411,0.05909397260273972,1.6154,83.66762
11,3,11,0.10165643835616438,0.07726,0.8989,82.31564
11,4,9,0.1357745205479452,0.09543945205479452,0.9269,82.13085
11,5,6,0.16327972602739727,0.10378767123287672,0.9569,81.950195
11,6,13,0.1911753424657534,0.10518739726027397,1.6871,83.230576
11,7,10,0.2684857534246575,0.13571808219178083,0.885,82.64866
11,8,12,0.2999934246575342,0.15195671232876712,1.8393,83.01293
11,9,17,0.3,0.15152712328767123,1.4488,82.980606
11,10,8,0.3,0.15172356164383563,1.7656,82.99428
12,1,1,0.005036712328767123,0.012665205479452055,1.1762,80.46072
12,2,1,0.03630931506849315,0.027424109589041096,1.4387,82.08109
12,3,1,0.06197534246575342,0.039563561643835614,0.8893,80.71044
12,4,1,0.10655643835616438,0.05922794520547946,0.8644,79.53211
12,5,1,0.15766465753424658,0.0764282191780822,1.705,81.42446
12,6,4,0.18439753424657532,0.07652931506849314,1.3713,81.86446
12,7,1,0.211093698630137,0.08569890410958904,0.9367,81.03759
12,8,0,0.24949616438356165,0.10148904109589041,0.7794,81.34376
12,9,0,0.2699115068493151,0.10851123287671233,0.8263,80.6852
12,10,3,0.2796,0.10999835616438357,1.3609,81.02789
13,1,50,0.01725780821917808,0.05737780821917809,1.36,72.959206
13,2,48,0.06755780821917808,0.06210301369863014,1.3465,72.974495
13,3,61,0.11691808219178082,0.09045671232876712,1.0482,73.54408
13,4,56,0.15108904109589041,0.11141123287671234,1.9176,74.11181
13,5,60,0.18632191780821916,0.12729369863013698,2.0664,73.62414
13,6,62,0.21400547945205478,0.1302882191780822,1.7376,73.83378
13,7,54,0.24642876712328768,0.13649123287671233,1.0342,72.637505
13,8,46,0.26437972602739723,0.14645287671232876,1.6383,73.20104
13,9,53,0.2879260273972603,0.15861698630136986,1.0312,73.03781
13,10,68,0.2982802739726027,0.16642054794520547,2.2613,73.6411
14,1,17,0.023671506849315068,0.048689863013698625,1.7401,85.79066
14,2,30,0.10260410958904109,0.07978027397260275,1.0249,86.12833
14,3,20,0.16382054794520548,0.11171178082191781,0.9875,85.37266
14,4,15,0.18750027397260274,0.12019534246575342,2.0298,86.39587
14,5,38,0.2378241095890411,0.1337164383561644,1.9864,86.197205
14,6,32,0.27033260273972604,0.1439041095890411,1.6708,85.94496
14,7,27,0.2993041095890411,0.15879041095890412,0.9737,85.62635
14,8,27,0.3,0.15782767123287672,0.9667,84.832436
14,9,29,0.3,0.16001068493150686,0.9942,85.83844
14,10,24,0.3,0.16218986301369864,1.6028,86.95159
15,1,0,0.014435068493150684,0.07654958904109589,0.6932,87.64236
15,2,3,0.07661068493150686,0.06768767123287671,0.8922,88.77852
15,3,0,0.11372465753424658,0.08924767123287672,0.6748,86.31926
15,4,1,0.14145917808219177,0.10181123287671232,1.0979,86.51022
15,5,5,0.16185643835616437,0.10635452054794521,1.2793,88.343124
15,6,0,0.18774246575342465,0.10484356164383561,0.6832,86.45614
15,7,0,0.20057780821917806,0.09872630136986302,0.7017,88.076004
15,8,0,0.24570849315068494,0.11598849315068493,0.7587,86.37929
15,9,0,0.27873506849315066,0.1293860273972603,0.6785,86.921814
15,10,2,0.2938021917808219,0.13424027397260274,1.2665,86.33882
16,1,0,0.02076054794520548,0.09645506849315068,0.5627,80.19315
16,2,1,0.07416794520547945,0.06769315068493151,1.1313,80.36825
16,3,0,0.11242465753424656,0.08516849315068493,0.5246,80.49989
16,4,1,0.15849698630136985,0.10719095890410958,0.8403,80.91466
16,5,0,0.19736410958904108,0.1180972602739726,0.554,80.82696
16,6,0,0.22825643835616435,0.11467589041095891,0.681,81.065315
16,7,0,0.26447095890410954,0.1046750684931507,0.5619,79.1417
16,8,0,0.3,0.11481780821917807,0.5477,81.05156
16,9,1,0.3,0.11341890410958905,0.9208,79.87474
16,10,1,0.3,0.11492575342465752,0.8565,81.05803
17,1,0,0.03949287671232877,0.13386931506849314,0.675,82.696
17,2,0,0.0969717808219178,0.09253561643835617,0.5117,80.77965
17,3,0,0.1298109589041096,0.09065506849315069,0.3384,81.12671
17,4,0,0.1677517808219178,0.10568356164383562,0.5676,82.34899
17,5,0,0.21327780821917808,0.11948082191780822,0.6582,82.3386
17,6,0,0.252393698630137,0.12180328767123287,0.3883,81.72663
17,7,0,0.2923139726027397,0.11407068493150686,0.4047,81.74208
17,8,0,0.3,0.09094136986301371,0.3845,81.840164
17,9,0,0.3,0.08445890410958905,0.3157,79.60033
17,10,0,0.3,0.0867882191780822,0.7119,82.76825
18,1,76,0.005070958904109589,0.02247780821917808,2.2454,84.501564
18,2,68,0.036160547945205485,0.03542,1.449,84.413506
18,3,67,0.07757150684931508,0.05616739726027398,1.134,83.444984
18,4,71,0.11778082191780823,0.07622657534246575,1.7232,84.4705
18,5,62,0.13758383561643836,0.0801345205479452,1.8837,83.9003
18,6,66,0.15326356164383562,0.07673534246575343,1.781,84.21482
18,7,59,0.1768205479452055,0.0811041095890411,1.1237,82.66556
18,8,64,0.21489753424657534,0.09906301369863015,2.2685,83.83932
18,9,78,0.2597621917808219,0.12199424657534247,1.1005,83.67334
18,10,81,0.2951109589041096,0.1389186301369863,2.1959,84.84802
19,1,7,0.021454246575342464,0.05324383561643836,1.1251,75.137726
19,2,5,0.057584109589041095,0.05055095890410959,1.7228,74.1111
19,3,1,0.08750301369863014,0.06460027397260273,0.8618,73.87512
19,4,6,0.13915260273972602,0.0945441095890411,1.3347,74.418465
19,5,7,0.19124383561643837,0.11438958904109589,0.8828,73.64002
19,6,6,0.27055205479452055,0.13580164383561644,1.193,74.035866
